Date,Description,Amount,Category
12/30/2024,PIRATE SHIP * POSTAGE,9.36,Shipping
12/29/2024,ALDI,16.74,Grocery
12/30/2024,FEDEX,0.22,Shipping
12/29/2024,SUNOCO,38.69,Gas
12/28/2024,LIDL,4.35,Grocery
12/28/2024,APPLE,0.99,Phone/Cables
12/26/2024,H MART,6.6,Grocery
12/25/2024,GREAT WALL SUPERMARKET,5.88,Grocery
12/24/2024,Gas Fuel,32.06,Gas
12/23/2024,Amazon,12.19,Merchandise
12/23/2024,Amazon,12.19,Merchandise
12/21/2024,LIDL,20.2,Grocery
12/19/2024,ALDI,7.72,Grocery
12/20/2024,LIDL,6.25,Grocery
12/17/2024,LIDL,3.61,Grocery
12/16/2024,LUBE - IT,20,Auto
12/11/2024,LA FITNESS,39.99,Gym
11/29/2024,ALDI,3.52,Grocery
11/29/2024,APPLE,0.99,Phone/Cables
11/28/2024,GIANT,4.53,Grocery
11/27/2024,LIDL,8.37,Grocery
11/26/2024,ALDI,12.01,Grocery
11/27/2024,TARGET ,3.71,Merchandise
11/26/2024,GREAT WALL SUPERMARKET,21.73,Grocery
11/25/2024,7610 CRUZ CROWN,31.44,Gas
11/25/2024,TARGET ,10.07,Merchandise
11/23/2024,AMERICAN MAJESTIC EAGLE,28.69,Gas
11/24/2024,Too Good To Go Inc.,5.29,Dining
11/23/2024,LIDL,20.81,Grocery
11/23/2024,LIDL,1.84,Grocery
11/22/2024,GREAT WALL SUPERMARKET,44.9,Grocery
11/22/2024,PIRATE SHIP * POSTAGE,10.96,Shipping
11/22/2024,FEDEX,0.22,Shipping
11/20/2024,GREAT WALL SUPERMARKET,13.56,Grocery
11/20/2024,H MART,2.77,Grocery
11/19/2024,BP,30.39,Gas
11/20/2024,PROGRESSIVE,251,Insurance
11/19/2024,LIDL,1.84,Grocery
11/19/2024,LIDL,9.78,Grocery
11/18/2024,GREAT WALL SUPERMARKET,37.49,Grocery
11/18/2024,PIRATE SHIP * POSTAGE,10.96,Shipping
11/18/2024,FEDEX,0.75,Shipping
11/17/2024,GREAT WALL SUPERMARKET,5.26,Grocery
11/16/2024,UNIQUE,1.8,Merchandise
11/15/2024,TOLL PAYMENT,7.2,Other
11/15/2024,BP,28.44,Gas
11/15/2024,99 RANCH,14.34,Grocery
11/14/2024,LIDL,24.84,Grocery
11/12/2024,UNIQUE,9.85,Merchandise
11/11/2024,ALDI,4.07,Grocery
11/11/2024,LIDL,1,Grocery
11/11/2024,LA FITNESS,39.99,Gym
11/8/2024,H MART,0.28,Grocery
11/8/2024,LIDL,1.09,Grocery
11/7/2024,Costco Ticket,11,Other
11/7/2024,LIDL,4.84,Grocery
11/4/2024,LIDL,9.41,Grocery
11/3/2024,GREAT WALL SUPERMARKET,28.6,Grocery
11/2/2024,GREAT WALL SUPERMARKET,9.35,Grocery
11/1/2024,ALDI,7.43,Grocery
10/30/2024,GOOD FORTUNE,18.32,Grocery
10/30/2024,SHENANDOAH NATL PARK,30,Other
10/28/2024,LIDL,5.51,Grocery
10/28/2024,APPLE,0.99,Phone/Cables
10/27/2024,CVS,9.32,Merchandise
10/26/2024,LIDL,7.16,Grocery
10/25/2024,LA FITNESS,59,Gym
10/23/2024,LIDL,12.5,Grocery
10/22/2024,HARRIS TEETER,3.68,Grocery
10/21/2024,COURSERA,49,Other
10/20/2024,ALDI,4.52,Grocery
10/20/2024,UBER EATS,14.6,Dining
10/19/2024,CAR DOCTORS,771.63,Auto
10/19/2024,CAR DOCTORS,56.84,Auto
10/19/2024,LIDL,9.39,Grocery
10/18/2024,HARRIS TEETER,0.74,Grocery
10/18/2024,LIDL,6.3,Grocery
10/14/2024,7610 CRUZ CROWN,31.26,Gas
10/14/2024,TARGET ,2.11,Merchandise
10/12/2024,DOLLARTREE,1.33,Merchandise
10/11/2024,LA FITNESS,79.98,Gym
10/10/2024,LIDL,44.39,Grocery
10/9/2024,LIDL,3.98,Grocery
10/8/2024,UBER EATS,17.77,Dining
10/7/2024,KROGER,2.83,Grocery
10/5/2024,KROGER,20.39,Grocery
10/3/2024,KROGER,9.04,Grocery
10/1/2024,KROGER,31.37,Grocery
10/1/2024,KROGER,16.14,Grocery
9/30/2024,KROGER,12.01,Grocery
9/28/2024,KROGER,4.81,Grocery
9/28/2024,KROGER,32.41,Grocery
9/28/2024,APPLE,0.99,Phone/Cables
9/26/2024,KROGER,26.95,Grocery
9/23/2024,KROGER,18.97,Grocery
9/22/2024,UBER EATS,20.18,Dining
9/21/2024,DOORDASH,19.12,Dining
9/20/2024,KROGER,10.99,Grocery
9/20/2024,UBER EATS,17.01,Dining
